LAT_ROUND,LON_ROUND,CrashCount,SevereCount,AvgKABCO,HitRunRate,RISK_INDEX
41.91,-87.736,60,13,1.5333333333333334,0.23333333333333334,19.933333333333334
41.722,-87.585,121,15,1.2975206611570247,0.2644628099173554,19.462809917355372
41.869,-87.745,24,9,2.0833333333333335,0.25,18.75
41.743,-87.683,29,10,1.793103448275862,0.1724137931034483,17.93103448275862
41.737,-87.566,16,8,2.125,0.375,17.0
41.89,-87.648,36,10,1.6666666666666667,0.08333333333333333,16.666666666666668
41.78,-87.626,42,10,1.6666666666666667,0.2619047619047619,16.666666666666668
41.88,-87.765,54,11,1.462962962962963,0.35185185185185186,16.09259259259259
41.751,-87.586,119,12,1.2941176470588236,0.40336134453781514,15.529411764705884
41.867,-87.645,40,10,1.55,0.375,15.5
